Builder,Project,Location,Sector,Floor,Price,Min. Size,Max. Size,AR,Leased Brand/ Type,LG,Lock-in Period,Lease Period,Possession Period,,CA,Payment Plan,Min. Investment,LG,Annual LG,AR ,AR Adjusted,ROI
Bhutani Infra,Alphathum,Noida,Sector 90,16F,"12,700",100,500,NA,GEENTANJALI,70,,,NA,,,,1270000,19.2,230.4,NA,NA,0.02%
Bhutani Infra,Alphathum,Noida,Sector 90,7F,"12,700",350,,NA,ALCOI,70,,,NA,,,,4445000,24500,294000,NA,NA,6.61%
M3M,Atrium,Gurgaon,Sector 57,LGF,"25,000",320,,12%,Retail,6%,,,5,,,,8000000,19.2,230.4,400000,"7,600,000",0.00%
M3M,Atrium,Gurgaon,Sector 57,3F,"21,900",680,,12%,Food Court,6%,,,5,,,,14892000,40.8,489.6,744600,"14,147,400",0.00%
M3M,Atrium,Gurgaon,Sector 57,1F,"29,300",530,,12%,Retail,6%,,,5,,,,15529000,31.8,381.6,776450,"14,752,550",0.00%
M3M,Atrium,Gurgaon,Sector 57,2F,"25,900",660,,12%,Retail,6%,,,5,,,,17094000,39.6,475.2,854700,"16,239,300",0.00%
M3M,Atrium,Gurgaon,Sector 57,GF,"43,900",1200,,12%,Retail,6%,,,5,,,,52680000,72,864,2634000,"50,046,000",0.00%
Paras ,Avenue,Noida,Sector 129,1F,"29,000",250,,120,Retail,NA,,,36,,,,7250000,#VALUE!,#VALUE!,2610000000,"-2,602,750,000",#VALUE!
Paras ,Avenue,Noida,Sector 129,2F,"22,000",350,,100,Retail,NA,,,36,,,,7700000,#VALUE!,#VALUE!,2310000000,"-2,302,300,000",#VALUE!
Paras ,Avenue,Noida,Sector 129,3F,"20,000",350,,80,Retail,NA,,,36,,,,7000000,#VALUE!,#VALUE!,1680000000,"-1,673,000,000",#VALUE!
Paras ,Avenue,Noida,Sector 129,LGF,"31,000",250,,125,Hyper Market (Spencer),125,,,,,,,7750000,31250,375000,0,"7,750,000",4.84%
Bhutani Infra,Avenue 62,Noida,Sector 62,LGF,"23,000",100,,12%,Retail,150,,,20,,,,2300000,15000,180000,460000,"1,840,000",9.78%
Bhutani Infra,Avenue 62,Noida,Sector 62,1F,"27,000",100,,12%,Retail,175,,,20,,,50:25:25,2700000,17500,210000,540000,"2,160,000",9.72%
Bhutani Infra,Avenue 62,Noida,Sector 62,2F,"27,000",100,,12%,Retail,165,,,20,,,51:25:25,2700000,16500,198000,540000,"2,160,000",9.17%
Bhutani Infra,Avenue 62,Noida,Sector 62,GF,"30,000",100,,12%,Lockable,180,,,20,,,,3000000,18000,216000,600000,"2,400,000",9.00%
Bhutani Infra,Avenue 62,Noida,Sector 62,4F,"18,990",200,,NA,Retail,138,,,20,,,,3798000,27600,331200,NA,NA,8.72%
Omaxe,Chowk,North Delhi,Chandni Chowk,2F,"145,000",40,,12%,Food Court,9%,,,4,,,60:40:00,5800000,3.6,43.2,232000,"5,568,000",0.00%
Omaxe,Chowk,North Delhi,Chandni Chowk,1F,"165,000",40,,12%,Retail,9%,,,4,,,60:40:00,6600000,3.6,43.2,264000,"6,336,000",0.00%
Omaxe,Chowk,North Delhi,Chandni Chowk,GF,"200,000",40,,12%,Retail,9%,,,4,,,60:40:00,8000000,3.6,43.2,320000,"7,680,000",0.00%
Bhutani Infra,City-Center 150,Noida,Sector 150,LGF,"27,000",100,,12%,High-street,175,,,5,,,,2700000,17500,210000,135000,"2,565,000",8.19%
