,name,floorSize,image,project,headline,description
0,"Office Space for Sale in Sector 90,Noida",1365 sq.ft.,https://img.squareyards.com/secondaryPortal/638411213287456048-1701240848484848.jpg,Alphathum,,
1,Alphathum,,,Alphathum,"Alphathum, Sector 90, Noida",
2,"Office Space for Sale in Sector 90,Noida",1640 sq.ft.,https://img.squareyards.com/secondaryPortal/638402412070129672-070124042007207.jpg,Alphathum,,
3,"Showroom for Sale in Sector 140a,Noida",464 sq.ft.,https://img.squareyards.com/secondaryPortal/638406818378019612-1201240643574357.jpeg,Cyberthum,,
4,"Office Space for Sale in Sector 140a,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638437489048219855-1702240641444144.png,Cyberthum,,
5,"Shop for Sale in Sector 140a,Noida",250 sq.ft.,https://img.squareyards.com/secondaryPortal/638427689347394577-0502241028542854.jpg,Cyberthum,,
6,"Shop for Sale in Sector 133,Noida",134 sq.ft.,https://img.squareyards.com/secondaryPortal/638361780554580582-2111230340554055.jpg,Avenue 133,,
7,"Shop for Sale in Sector 133,Noida",134 sq.ft.,https://img.squareyards.com/secondaryPortal/638433546781541022-1202240511181118.jpg,Avenue 133,,
8,"Shop for Sale in Sector 133,Noida",134 sq.ft.,https://img.squareyards.com/secondaryPortal/638386875381900628-2012230445384538.jpg,Avenue 133,,
9,"Office Space for Sale in Sector 62,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638259987665702542-26072308060666.jpeg,Avenue 62,,
10,"Shop for Sale in Sector 62,Noida",134 sq.ft.,https://img.squareyards.com/secondaryPortal/638274414715029070-1208231251115111.jpg,Avenue 62,,
11,"Shop for Sale in Sector 62,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638206103969415892-2505231119561956.jpg,Avenue 62,,
12,"Shop for Sale in Raj Nagar Extension,Ghaziabad",150 sq.ft.,https://img.squareyards.com/secondaryPortal/638308937219298282-2109231148414841.jpg,City-Centre 150,,
13,"Showroom for Sale in Greater Noida West,Greater Noida",1500 sq.ft.,https://img.squareyards.com/secondaryPortal/638360777310776166-2011231148514851.jpg,City-Centre 150,,
14,"Office Space for Sale in Greater Noida West,Greater Noida",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638309164465498474-210923060726726.jpg,City-Centre 150,,
15,"Office Space for Sale in Sector 62,Noida",550 sq.ft.,https://img.squareyards.com/secondaryPortal/638223387428434573-1406231125422542.jpg,Cyberpark,,
16,"Shop for Sale in Sector 4, Greater Noida,Greater Noida",125 sq.ft.,https://img.squareyards.com/secondaryPortal/638149274046900196-2003230443244324.jpg,Cyberpark,,
17,"Land for Sale in Sector 4, Greater Noida,Greater Noida",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638446467069319793-27022404050656.jpg,Cyberpark,,
18,"Shop for Sale in Sector 4, Greater Noida,Greater Noida",125 sq.ft.,https://img.squareyards.com/secondaryPortal/638149274046900196-2003230443244324.jpg,Technopark,,
19,"Land for Sale in Sector 4, Greater Noida,Greater Noida",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638446467069319793-27022404050656.jpg,Technopark,,
20,"Office Space for Sale in Sector 62,Noida",700 sq.ft.,https://img.squareyards.com/secondaryPortal/638189871049024907-060523042504254.jpeg,Technopark,,
21,"Showroom for Sale in Sector 75,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638257483320409276-2307231032123212.jpeg,Spectrum@Metro,,
22,"Shop for Sale in Sector 75,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638170973358270046-1404230728552855.jpg,Spectrum@Metro,,
23,"Shop for Sale in Sector 75,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638299474715994557-1009231257515751.jpeg,Spectrum@Metro,,
24,"Shop for Sale in Sector 94a,Noida",500 sq.ft.,https://img.squareyards.com/secondaryPortal/638403306059215329-080124051005105.jpg,"The Line, Cullinan",,
25, Retail Shop For Sale in M3m The Cullinan Sector 94 Noida,,,"The Line, Cullinan"," Retail Shop For Sale in M3m The Cullinan Sector 94 Noida, Sector 94a, Noida",
26,"Showroom for Sale in Sector 94,Noida",758 sq.ft.,https://img.squareyards.com/secondaryPortal/638434437095327162-130224055509559.png,"The Line, Cullinan",,
27,"Office Space for Sale in Sector 140a,Noida",925 sq.ft.,https://img.squareyards.com/secondaryPortal/638430966243720516-0902240530243024.jpg,The Flagship,,
28,"Office Space for Sale in Sector 140a,Noida",555 sq.ft.,https://img.squareyards.com/secondaryPortal/638398850179057858-0301240123372337.png,The Flagship,,
29,CRC The Flagship,,,The Flagship,"CRC The Flagship, Sector 140a, Noida",
30,"Shop for Sale in Sector 140a,Noida",356 sq.ft.,https://img.squareyards.com/secondaryPortal/638435210076647252-1402240323272327.jpg,EON,,
31,"Office Space for Sale in Sector 140a,Noida",465 sq.ft.,https://img.squareyards.com/secondaryPortal/638407645241343888-130124054204424.jpg,EON,,
32,"Office Space for Sale in Sector 140a,Noida",450 sq.ft.,https://img.squareyards.com/secondaryPortal/638320477315319561-0410230822112211.jpg,EON,,
33,"Office Space for Sale in Sector 140,Noida",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638430905235282969-0902240348434843.jpg,Mentis,,
34,"Shop for Sale in Sector 140,Noida",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638442019180830755-2202241231583158.png,Mentis,,
35,"Office Space for Sale in Sector 140,Noida",700 sq.ft.,https://img.squareyards.com/secondaryPortal/638429919112124287-0802241225112511.jpg,Mentis,,
36,"Shop for Sale in Sector 98,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638405876143562943-1101240433343334.jpg,Mall of Noida,,
37,"Shop for Sale in Sector 98,Noida",125 sq.ft.,https://img.squareyards.com/secondaryPortal/8f9cf925-ce1c-4d22-addc-f22228c2a9be.jpg,Mall of Noida,,
38,"Shop for Sale in Sector 98,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638336822900141342-2310230624502450.jpg,Mall of Noida,,
39,"Shop for Sale in Sector 129 ,Noida",580 sq.ft.,https://img.squareyards.com/secondaryPortal/638399870659276841-0401240544254425.jpg,Status,,
40,"Shop for Sale in Sector 129 ,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638365406716657681-2511230824312431.jpg,Status,,
41,"Shop for Sale in Sector 129 ,Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/c8eff173-7ba7-4adb-a2de-8f8e41b533eb.jpg,Status,,
42,"Shop for Sale in Sector 131,Noida",130 sq.ft.,https://img.squareyards.com/secondaryPortal/638237321086305625-3006230228282828.jpg,Piazza,,
43,"Shop for Sale in Sector 131,Noida",259 sq.ft.,https://img.squareyards.com/secondaryPortal/638409945264681244-1601240935263526.jpg,Piazza,,
44,"Shop for Sale in Sector 131,Noida",400 sq.ft.,https://img.squareyards.com/secondaryPortal/638213155315068610-0206230312111211.jpg,Piazza,,
45,"Shop for Sale in Sector 133,Noida",292 sq.ft.,https://img.squareyards.com/secondaryPortal/638308146734359865-2009230151135113.jpeg,ONE32,,
46,"Shop for Sale in Sector 133,Noida",320 sq.ft.,https://img.squareyards.com/secondaryPortal/638241947445500835-050723105904594.jpg,ONE32,,
47,"Shop for Sale in Sector 4, Greater Noida,Greater Noida",125 sq.ft.,https://img.squareyards.com/secondaryPortal/638149274046900196-2003230443244324.jpg,ONE32,,
48,"Shop for Sale in Sector 129 ,Noida",1578 sq.ft.,https://img.squareyards.com/secondaryPortal/638219980212492979-100623124701471.jpg,ONE29,,
49,"Shop for Sale in Sector 129 ,Noida",1538 sq.ft.,https://img.squareyards.com/secondaryPortal/638416023320309472-2301241025322532.jpg,ONE29,,
50,"Shop for Sale in Sector 129 ,Noida",450 sq.ft.,https://img.squareyards.com/secondaryPortal/638420665472305665-2801240722272227.jpg,ONE29,,
51,"Showroom for Sale in Sector 140,Noida",100 sq.ft.,https://img.squareyards.com/secondaryPortal/638142175296910106-120323113209329.jpeg,Centrade Business Park,,
52,"Office Space for Sale in Sector 140,Noida",700 sq.ft.,https://img.squareyards.com/secondaryPortal/638433625647293820-1202240722442244.jpg,Centrade Business Park,,
53,"Office Space for Sale in Sector 140,Noida",306 sq.ft.,https://img.squareyards.com/secondaryPortal/638431765893332962-100224034309439.jpg,Centrade Business Park,,
54,"Shop for Sale in Greater Noida West,Greater Noida",246 sq.ft.,https://img.squareyards.com/secondaryPortal/638324060773878132-0810231154375437.jpg,World Smart Street,,
55,"Shop for Sale in Greater Noida West,Greater Noida",284 sq.ft.,https://img.squareyards.com/secondaryPortal/638352085336233597-1011231022132213.jpg,World Smart Street,,
56,"Shop for Sale in Greater Noida West,Greater Noida",300 sq.ft.,https://img.squareyards.com/secondaryPortal/638312777489201151-250923102908298.jpg,World Smart Street,,
57,"Shop for Sale in Noida Ext Sector 4,Greater Noida",321 sq.ft.,https://img.squareyards.com/secondaryPortal/638355671848776227-1411230159445944.jpg,Blue Sapphire,,
58,"Shop for Sale in Noida Ext Sector 4,Greater Noida",315 sq.ft.,https://img.squareyards.com/secondaryPortal/638422268262618387-3001240353465346.jpg,Blue Sapphire,,
59,"Shop for Sale in Noida Ext Sector 4,Greater Noida",200 sq.ft.,https://img.squareyards.com/secondaryPortal/638429178824877143-0702240351225122.jpg,Blue Sapphire,,
60,"Office Space for Sale in Noida Ext Tech Zone 4,Greater Noida",566 sq.ft.,https://img.squareyards.com/secondaryPortal/638254616998634583-2007230254595459.jpg,Golden I,,
